dataset_id,method_name,seed,model_scale,steps_completed,tokens_seen,valid_nll_nats_per_token,valid_loss,valid_log_ppl,valid_ppl,ppl_overflow,metric_for_comparison,training_manifest_path
openwebtext_v2_100m,raw,13,small,2442,5001216,8.266689712181687,8.266689712181687,8.266689712181687,3892.0438587117,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/raw/seed_13/training_manifest.json
openwebtext_v2_100m,raw,42,small,2442,5001216,8.314619943499565,8.314619943499565,8.314619943499565,4083.1333210274956,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/raw/seed_42/training_manifest.json
openwebtext_v2_100m,raw,101,small,2442,5001216,8.989501055330038,8.989501055330038,8.989501055330038,8018.455131655981,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/raw/seed_101/training_manifest.json
openwebtext_v2_100m,exact_dedup,13,small,2442,5001216,8.266689712181687,8.266689712181687,8.266689712181687,3892.0438587117,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/exact_dedup/seed_13/training_manifest.json
openwebtext_v2_100m,exact_dedup,42,small,2442,5001216,8.314619943499565,8.314619943499565,8.314619943499565,4083.1333210274956,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/exact_dedup/seed_42/training_manifest.json
openwebtext_v2_100m,exact_dedup,101,small,2442,5001216,8.989501055330038,8.989501055330038,8.989501055330038,8018.455131655981,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/exact_dedup/seed_101/training_manifest.json
openwebtext_v2_100m,length_filter,13,small,2442,5001216,8.317885557189584,8.317885557189584,8.317885557189584,4096.48905255963,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/length_filter/seed_13/training_manifest.json
openwebtext_v2_100m,length_filter,42,small,2442,5001216,8.332907665520906,8.332907665520906,8.332907665520906,4158.491492599987,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/length_filter/seed_42/training_manifest.json
openwebtext_v2_100m,length_filter,101,small,2442,5001216,9.007667392492294,9.007667392492294,9.007667392492294,8165.452248095543,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/length_filter/seed_101/training_manifest.json
openwebtext_v2_100m,random_same_keep_rate,13,small,2442,5001216,9.61199371702969,9.61199371702969,9.61199371702969,14942.932387385996,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/random_same_keep_rate/seed_13/training_manifest.json
openwebtext_v2_100m,random_same_keep_rate,42,small,2442,5001216,9.542370561510324,9.542370561510324,9.542370561510324,13937.94925896867,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/random_same_keep_rate/seed_42/training_manifest.json
openwebtext_v2_100m,random_same_keep_rate,101,small,2442,5001216,9.56789081543684,9.56789081543684,9.56789081543684,14298.226898335726,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/random_same_keep_rate/seed_101/training_manifest.json
openwebtext_v2_100m,c4_quality_filter,13,small,2442,5001216,8.3163424115628,8.3163424115628,8.3163424115628,4090.1724483665516,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/c4_quality_filter/seed_13/training_manifest.json
openwebtext_v2_100m,c4_quality_filter,42,small,2442,5001216,8.350681779906154,8.350681779906154,8.350681779906154,4233.065778728757,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/c4_quality_filter/seed_42/training_manifest.json
openwebtext_v2_100m,c4_quality_filter,101,small,2442,5001216,9.479291470721364,9.479291470721364,9.479291470721364,13085.911477326339,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/c4_quality_filter/seed_101/training_manifest.json
openwebtext_v2_100m,perplexity_proxy_filter,13,small,2442,5001216,8.37261121161282,8.37261121161282,8.37261121161282,4326.919827438343,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/perplexity_proxy_filter/seed_13/training_manifest.json
openwebtext_v2_100m,perplexity_proxy_filter,42,small,2442,5001216,9.529778588563204,9.529778588563204,9.529778588563204,13763.543340708886,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/perplexity_proxy_filter/seed_42/training_manifest.json
openwebtext_v2_100m,perplexity_proxy_filter,101,small,2442,5001216,8.324163120239973,8.324163120239973,8.324163120239973,4122.285906845564,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/perplexity_proxy_filter/seed_101/training_manifest.json
openwebtext_v2_100m,urd_fixed,13,small,2442,5001216,8.280604731291533,8.280604731291533,8.280604731291533,3946.5802810841888,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/urd_fixed/seed_13/training_manifest.json
openwebtext_v2_100m,urd_fixed,42,small,2442,5001216,8.324944982305169,8.324944982305169,8.324944982305169,4125.510226140235,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/urd_fixed/seed_42/training_manifest.json
openwebtext_v2_100m,urd_fixed,101,small,2442,5001216,8.265030732378364,8.265030732378364,8.265030732378364,3885.5923894646903,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/openwebtext_v2_100m/urd_fixed/seed_101/training_manifest.json
c4_en_v2_100m,raw,13,small,2442,5001216,8.345171183347702,8.345171183347702,8.345171183347702,4209.803215185292,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/raw/seed_13/training_manifest.json
c4_en_v2_100m,raw,42,small,2442,5001216,9.122839383780956,9.122839383780956,9.122839383780956,9162.179662482096,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/raw/seed_42/training_manifest.json
c4_en_v2_100m,raw,101,small,2442,5001216,9.06765659712255,9.06765659712255,9.06765659712255,8670.282016693438,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/raw/seed_101/training_manifest.json
c4_en_v2_100m,exact_dedup,13,small,2442,5001216,8.345171183347702,8.345171183347702,8.345171183347702,4209.803215185292,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/exact_dedup/seed_13/training_manifest.json
c4_en_v2_100m,exact_dedup,42,small,2442,5001216,9.122839383780956,9.122839383780956,9.122839383780956,9162.179662482096,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/exact_dedup/seed_42/training_manifest.json
c4_en_v2_100m,exact_dedup,101,small,2442,5001216,9.06765659712255,9.06765659712255,9.06765659712255,8670.282016693438,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/exact_dedup/seed_101/training_manifest.json
c4_en_v2_100m,length_filter,13,small,2442,5001216,9.09435373917222,9.09435373917222,9.09435373917222,8904.871265339052,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/length_filter/seed_13/training_manifest.json
c4_en_v2_100m,length_filter,42,small,2442,5001216,9.080966796725988,9.080966796725988,9.080966796725988,8786.456639529832,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/length_filter/seed_42/training_manifest.json
c4_en_v2_100m,length_filter,101,small,2442,5001216,9.088019009679556,9.088019009679556,9.088019009679556,8848.639608914587,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/length_filter/seed_101/training_manifest.json
c4_en_v2_100m,random_same_keep_rate,13,small,2442,5001216,8.377060748636723,8.377060748636723,8.377060748636723,4346.2155140106215,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/random_same_keep_rate/seed_13/training_manifest.json
c4_en_v2_100m,random_same_keep_rate,42,small,2442,5001216,8.378366244956851,8.378366244956851,8.378366244956851,4351.8931876552915,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/random_same_keep_rate/seed_42/training_manifest.json
c4_en_v2_100m,random_same_keep_rate,101,small,2442,5001216,8.356156393885612,8.356156393885612,8.356156393885612,4256.303731187181,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/random_same_keep_rate/seed_101/training_manifest.json
c4_en_v2_100m,c4_quality_filter,13,small,2442,5001216,8.406181439757347,8.406181439757347,8.406181439757347,4474.641159879609,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/c4_quality_filter/seed_13/training_manifest.json
c4_en_v2_100m,c4_quality_filter,42,small,2442,5001216,9.644231049343944,9.644231049343944,9.644231049343944,15432.501467258782,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/c4_quality_filter/seed_42/training_manifest.json
c4_en_v2_100m,c4_quality_filter,101,small,2442,5001216,8.377599032595754,8.377599032595754,8.377599032595754,4348.555641874447,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/c4_quality_filter/seed_101/training_manifest.json
c4_en_v2_100m,perplexity_proxy_filter,13,small,2442,5001216,8.33405832014978,8.33405832014978,8.33405832014978,4163.279234075271,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/perplexity_proxy_filter/seed_13/training_manifest.json
c4_en_v2_100m,perplexity_proxy_filter,42,small,2442,5001216,8.391115168109536,8.391115168109536,8.391115168109536,4407.730314806193,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/perplexity_proxy_filter/seed_42/training_manifest.json
c4_en_v2_100m,perplexity_proxy_filter,101,small,2442,5001216,8.362253829836845,8.362253829836845,8.362253829836845,4282.335553609599,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/perplexity_proxy_filter/seed_101/training_manifest.json
c4_en_v2_100m,urd_fixed,13,small,2442,5001216,9.06163134984672,9.06163134984672,9.06163134984672,8618.198489225899,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/urd_fixed/seed_13/training_manifest.json
c4_en_v2_100m,urd_fixed,42,small,2442,5001216,9.131549943238497,9.131549943238497,9.131549943238497,9242.335969518683,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/urd_fixed/seed_42/training_manifest.json
c4_en_v2_100m,urd_fixed,101,small,2442,5001216,9.06010688841343,9.06010688841343,9.06010688841343,8605.070387189704,False,valid_nll_nats_per_token,artifacts/localmax_ccfc_training/c4_en_v2_100m/urd_fixed/seed_101/training_manifest.json
