dataset_key,baseline_name,rows,metric,mean,ci95_low,ci95_high,claim_status
wikitext2_smoke,raw,1,retention_rate,1.0,,,unsupported_seed_count
wikitext2_smoke,random_same_keep_rate,1,retention_rate,0.6,,,unsupported_seed_count
wikitext2_smoke,length_filter,1,retention_rate,0.6,,,unsupported_seed_count
wikitext2_smoke,c4_gopher_heuristic,1,retention_rate,0.6,,,unsupported_seed_count
wikitext2_smoke,dedup_only,1,retention_rate,0.3333333333333333,,,unsupported_seed_count
wikitext2_smoke,perplexity_quality_ngram,1,retention_rate,0.6,,,unsupported_seed_count
wikitext2_smoke,independent_quality_score,1,retention_rate,0.6,,,unsupported_seed_count
wikitext2_smoke,optional_external_wrapper,1,retention_rate,0.0,,,unsupported_seed_count
openwebtext_smoke,raw,1,retention_rate,1.0,,,unsupported_seed_count
openwebtext_smoke,random_same_keep_rate,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
openwebtext_smoke,length_filter,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
openwebtext_smoke,c4_gopher_heuristic,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
openwebtext_smoke,dedup_only,1,retention_rate,0.5,,,unsupported_seed_count
openwebtext_smoke,perplexity_quality_ngram,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
openwebtext_smoke,independent_quality_score,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
openwebtext_smoke,optional_external_wrapper,1,retention_rate,0.0,,,unsupported_seed_count
c4_en_smoke,raw,1,retention_rate,1.0,,,unsupported_seed_count
c4_en_smoke,random_same_keep_rate,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
c4_en_smoke,length_filter,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
c4_en_smoke,c4_gopher_heuristic,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
c4_en_smoke,dedup_only,1,retention_rate,0.5,,,unsupported_seed_count
c4_en_smoke,perplexity_quality_ngram,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
c4_en_smoke,independent_quality_score,1,retention_rate,0.6363636363636364,,,unsupported_seed_count
c4_en_smoke,optional_external_wrapper,1,retention_rate,0.0,,,unsupported_seed_count
