run_id,timestamp_utc,command,config_path,config_hash,dataset_key,dataset_status,dataset_scope,model_size,model_config_path,model_config_hash,baseline_name,seed,train_steps,train_tokens,validation_tokens,run_status,failure_reason,artifact_path,artifact_hash,environment_fingerprint_hash,dataset_manifest_path,metrics_path,final_val_loss,final_val_perplexity,retention_rate,tokenizer_type,tokenizer_id,tokenizer_hash,vocab_size,parameter_count,evaluated_validation_tokens,eval_batches,eval_batch_size,eval_block_size,eval_token_budget,eval_coverage_ratio,final_train_loss,final_validation_loss,perplexity_or_proxy_perplexity,model_quality_metric,privacy_metric,dedup_metric,keep_rate
smoke:wikitext2_smoke:raw:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,raw,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/raw/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,1.0,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:random_same_keep_rate:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,random_same_keep_rate,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/random_same_keep_rate/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:length_filter:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,length_filter,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/length_filter/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:c4_gopher_heuristic:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,c4_gopher_heuristic,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/c4_gopher_heuristic/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:dedup_only:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,dedup_only,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/dedup_only/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:perplexity_quality_ngram:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,perplexity_quality_ngram,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/perplexity_quality_ngram/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:independent_quality_score:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,independent_quality_score,13,0,567,0,completed_filtering_only,,artifacts/baselines/wikitext2_smoke/independent_quality_score/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6,,,,,,,,,,,,,,,,,,
smoke:wikitext2_smoke:optional_external_wrapper:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,wikitext2_smoke,real_nonfallback,official_split,,,,optional_external_wrapper,13,0,567,0,incomplete,,artifacts/baselines/wikitext2_smoke/optional_external_wrapper/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.0,,,,,,,,,,,,,,,,,,
smoke:openwebtext_smoke:raw:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,openwebtext_smoke,real_nonfallback,official_split,,,,raw,13,0,716,0,completed_filtering_only,,artifacts/baselines/openwebtext_smoke/raw/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,1.0,,,,,,,,,,,,,,,,,,
smoke:openwebtext_smoke:random_same_keep_rate:seed13,2026-06-04T00:00:00+00:00,legacy_v4.5_registry_row,configs/experiments/smoke.yaml,cf5fff317a9291b0fc21394f5b222bf29f0d963db9eb9f730a16b5eefb0c1b2b,openwebtext_smoke,real_nonfallback,official_split,,,,random_same_keep_rate,13,0,716,0,completed_filtering_only,,artifacts/baselines/openwebtext_smoke/random_same_keep_rate/seed_13,,d4400a8703377b354564cba1beb444aa2479f8b09f26dba7097e9b0036bc8f72,,,,,0.6363636363636364,,,,,,,,,,,,,,,,,,
