variant,seed,step,train_loss,train_next_char_accuracy,val_loss,val_next_char_accuracy
raw_noisy_baseline,23,0,15.928543090820312,0.03125,15.304402351379395,0.015625
raw_noisy_baseline,23,3,14.729433059692383,0.0078125,14.601483345031738,0.015625
raw_noisy_baseline,23,6,13.522720336914062,0.0078125,13.207816123962402,0.03125
rule_filter_only,23,0,14.932865142822266,0.0625,15.304402351379395,0.015625
rule_filter_only,23,3,15.599732398986816,0.015625,14.543288230895996,0.0078125
rule_filter_only,23,6,12.900846481323242,0.0625,13.120694160461426,0.03125
hdqs_filter,23,0,14.932865142822266,0.0625,15.304402351379395,0.015625
hdqs_filter,23,3,15.580160140991211,0.015625,14.526498794555664,0.0078125
hdqs_filter,23,6,12.881322860717773,0.0390625,13.102215766906738,0.03125
full_pipeline,23,0,15.532234191894531,0.03125,15.304402351379395,0.015625
full_pipeline,23,3,15.014019012451172,0.0234375,14.421645164489746,0.0078125
full_pipeline,23,6,13.431138038635254,0.015625,13.067895889282227,0.03125
